well,fragment_ID,fraction,notes
A1,StandardA,NA,NA
A2,StandardB,NA,NA
A3,StandardC,NA,NA
A4,StandardD,NA,NA
A5,StandardE,NA,NA
A6,StandardF,NA,NA
A7,StandardG,NA,NA
A8,StandardH,NA,NA
A9,StandardI,NA,NA
A10,POC-157,Holobiont,NA
A11,POC-169,Holobiont,NA
A12,POC-167,Holobiont,NA
B1,StandardA,NA,NA
B2,StandardB,NA,NA
B3,StandardC,NA,NA
B4,StandardD,NA,NA
B5,StandardE,NA,NA
B6,StandardF,NA,NA
B7,StandardG,NA,NA
B8,StandardH,NA,NA
B9,StandardI,NA,NA
B10,POC-157,Holobiont,NA
B11,POC-169,Holobiont,NA
B12,POC-167,Holobiont,NA
C1,POC-178,Holobiont,NA
C2,POC-156,Holobiont,NA
C3,POC-178.2,Holobiont,NA
C4,POC-175,Holobiont,NA
C5,POC-162,Holobiont,NA
C6,POC-150,Holobiont,NA
C7,POC-179,Holobiont,NA
C8,POC-165,Holobiont,NA
C9,POC-168,Holobiont,NA
C10,POC-181,Holobiont,Debris in well
C11,POC-154,Holobiont,NA
C12,POC-174,Holobiont,NA
D1,POC-178,Holobiont,NA
D2,POC-156,Holobiont,NA
D3,POC-178.2,Holobiont,NA
D4,POC-175,Holobiont,NA
D5,POC-162,Holobiont,NA
D6,POC-150,Holobiont,NA
D7,POC-179,Holobiont,NA
D8,POC-165,Holobiont,NA
D9,POC-168,Holobiont,NA
D10,POC-181,Holobiont,NA
D11,POC-154,Holobiont,NA
D12,POC-174,Holobiont,NA
E1,NA,NA,NA
E2,NA,NA,NA
E3,NA,NA,NA
E4,NA,NA,NA
E5,NA,NA,NA
E6,NA,NA,NA
E7,NA,NA,NA
E8,NA,NA,NA
E9,NA,NA,NA
E10,NA,NA,NA
E11,NA,NA,NA
E12,NA,NA,NA
F1,NA,NA,NA
F2,NA,NA,NA
F3,NA,NA,NA
F4,NA,NA,NA
F5,NA,NA,NA
F6,NA,NA,NA
F7,NA,NA,NA
F8,NA,NA,NA
F9,NA,NA,NA
F10,NA,NA,NA
F11,NA,NA,NA
F12,NA,NA,NA
G1,NA,NA,NA
G2,NA,NA,NA
G3,NA,NA,NA
G4,NA,NA,NA
G5,NA,NA,NA
G6,NA,NA,NA
G7,NA,NA,NA
G8,NA,NA,NA
G9,NA,NA,NA
G10,NA,NA,NA
G11,NA,NA,NA
G12,NA,NA,NA
H1,NA,NA,NA
H2,NA,NA,NA
H3,NA,NA,NA
H4,NA,NA,NA
H5,NA,NA,NA
H6,NA,NA,NA
H7,NA,NA,NA
H8,NA,NA,NA
H9,NA,NA,NA
H10,NA,NA,NA
H11,NA,NA,NA
H12,NA,NA,NA