Label ID,Short Code
1,Algal Turf
2,Amansia rhodantha
3,Crustose Corallines
4,Sand
5,Turbinaria ornata
6,Soft_Coral
7,Acanthastrea
8,Acropora
9,Astrea
10,Astreopora
11,Cyphastrea
12,Fungiidae
13,Gardinoseris
14,Goniastrea
15,Herpolitha
16,Leptastrea
17,Leptoseris
18,Lobophyllia
19,Millepora
20,Montipora
21,Pachyseris
22,Pavona
23,Plesiastrea
24,Pocillopora
25,Porites
26,Porites_rus
27,Porites_spp_Massive
28,Psammocora
29,Sandolitha
30,Stylocoeniella
31,Tubastrea
32,Unknown_or_Other