Site,Lat,Long
140,-17.476700,-149.807000
130,-17.476900,-149.807000
128,-17.476900,-149.807000
138,-17.476900,-149.807000
127,-17.476800,-149.807000
126,-17.476800,-149.807000
129,-17.476800,-149.807000
139,-17.476800,-149.807000
125,-17.476600,-149.807000
135,-17.476600,-149.807000
109,-17.476600,-149.807000
133,-17.476800,-149.807000
137,-17.476800,-149.807000
110,-17.476800,-149.807000
108,-17.476800,-149.807000
132,-17.476800,-149.807000
118,-17.476800,-149.807000
111,-17.476700,-149.807000
116,-17.476700,-149.807000
103,-17.476700,-149.807000
112,-17.476700,-149.807000
113,-17.476700,-149.807000
124,-17.476700,-149.807000
115,-17.476600,-149.807000
102,-17.476600,-149.807000
123,-17.476600,-149.807000
122,-17.476600,-149.807000
107,-17.476600,-149.807000
131,-17.476600,-149.807000
134,-17.476600,-149.807000
114,-17.476500,-149.807000
106,-17.476500,-149.807000
136,-17.476500,-149.807000
105,-17.476900,-149.807000
121,-17.476500,-149.807000
120,-17.476500,-149.807000
119,-17.476500,-149.807000
101,-17.476500,-149.807000
117,-17.476400,-149.807000
104,-17.476400,-149.807000
144,-17.476900,-149.807000
141,-17.476900,-149.807000
142,-17.476800,-149.807000
143,-17.476800,-149.807000
145,-17.476800,-149.807000
146,-17.476800,-149.807000
147,-17.476800,-149.807000
148,-17.476800,-149.807000
150,NA,NA
152,-17.476800,-149.806000
149,-17.476600,-149.806000
151,-17.476800,-149.806000
152,-17.476800,-149.806000
154,-17.476700,-149.806000
155,-17.476600,-149.806000
156,-17.476500,-149.806000
157,-17.476500,-149.806000
159,NA,NA
161,-17.477000,-149.806100
162,"-17.477083,",-149.806000
163,-17.476800,-149.806100
164,-17.476800,-149.806000
165,-17.476800,-149.806000
166,-17.476900,-149.806000
167,-17.476900,-149.806000
168,-17.476800,-149.806000
169,-17.477000,-149.806000
170,-17.476800,-149.806000
171,-17.476800,-149.806000
172,-17.476900,-149.807000
173,-17.476800,-149.806000
174,-17.476600,-149.806000
175,-17.476600,-149.806000
176,NA,NA
177,-17.490500,-149.827000
178,-17.476800,-149.806000
179,-17.476800,-149.806000
180,-17.476700,-149.806000
181,-17.476700,-149.807000
182,-17.476800,-149.807000
183,-17.476800,-149.807000
184,-17.476800,-149.807000
T1Start,-17.476816,-149.805543
T1End,-17.476508,-149.805617
T7Start,-17.476686,-149.808172
T7End,-17.476694,-149.808191