Well,fragment_ID,Timepoint
A1,StandardA,NA
A2,StandardB,NA
A3,StandardC,NA
A4,StandardD,NA
A5,StandardE,NA
A6,StandardF,NA
A7,StandardG,NA
A8,StandardH,NA
A9,StandardI,NA
A10,POC-157,Dec
A11,POC-169,Dec
A12,POC-167,Dec
B1,StandardA,NA
B2,StandardB,NA
B3,StandardC,NA
B4,StandardD,NA
B5,StandardE,NA
B6,StandardF,NA
B7,StandardG,NA
B8,StandardH,NA
B9,StandardI,NA
B10,POC-157,Dec
B11,POC-169,Dec
B12,POC-167,Dec
C1,POC-178,Dec
C2,POC-156,Dec
C3,POC-178.2,Dec
C4,POC-175,Dec
C5,POC-162,Dec
C6,POC-150,Dec
C7,POC-179,Dec
C8,POC-165,Dec
C9,POC-168,Dec
C10,POC-181,Dec
C11,POC-154,Dec
C12,POC-174,Dec
D1,POC-178,Dec
D2,POC-156,Dec
D3,POC-178.2,Dec
D4,POC-175,Dec
D5,POC-162,Dec
D6,POC-150,Dec
D7,POC-179,Dec
D8,POC-165,Dec
D9,POC-168,Dec
D10,POC-181,Dec
D11,POC-154,Dec
D12,POC-174,Dec
E1,NA,NA
E2,NA,NA
E3,NA,NA
E4,NA,NA
E5,NA,NA
E6,NA,NA
E7,NA,NA
E8,NA,NA
E9,NA,NA
E10,NA,NA
E11,NA,NA
E12,NA,NA
F1,NA,NA
F2,NA,NA
F3,NA,NA
F4,NA,NA
F5,NA,NA
F6,NA,NA
F7,NA,NA
F8,NA,NA
F9,NA,NA
F10,NA,NA
F11,NA,NA
F12,NA,NA
G1,NA,NA
G2,NA,NA
G3,NA,NA
G4,NA,NA
G5,NA,NA
G6,NA,NA
G7,NA,NA
G8,NA,NA
G9,NA,NA
G10,NA,NA
G11,NA,NA
G12,NA,NA
H1,NA,NA
H2,NA,NA
H3,NA,NA
H4,NA,NA
H5,NA,NA
H6,NA,NA
H7,NA,NA
H8,NA,NA
H9,NA,NA
H10,NA,NA
H11,NA,NA
H12,NA,NA